group,field,units,dimensions,datatype,coordinates,description,long_name,source
ROOT,year,years,Nt,float64,delta_time,all the years,,
ROOT,year_lag1,years,Nt_lag1,float64,delta_time,,,
ROOT,year_lag4,years,Nt_lag4,float64,delta_time,,,
ROOT,delta_time,years,Nt,float64,delta_time,,,
ROOT,delta_time_lag1,years,Nt_lag1,float64,delta_time,,,
ROOT,delta_time_lag4,years,Nt_lag4,float64,delta_time,,,
height_change,x,meters,Nx,float64,x,COMMENT: do I have to have something here to have an attribute?,,
height_change,y,meters,Ny,float64,y,,,
height_change,cell_area,meters^2,"Nx, Ny",float32,"x,y",,,
height_change,data_count,counts,"Nx, Ny,Nt",float32,"x,y,../delta_time",,,
height_change,misfit_rms,meters,"Nx, Ny,Nt",float32,"x,y,../delta_time",,,
height_change,misfit_scaled_rms,counts,"Nx, Ny,Nt",float32,"x,y,../delta_time",,,
height_change,delta_h,meters,"Nx, Ny,Nt",float32,"x,y,../delta_time",,,
height_change,delta_h_sigma,meters,"Nx, Ny,Nt",float32,"x,y,../delta_time",,,
height_change,dhdt_lag1,meters years^-1,"Nx, Ny,Nt_lag1",float32,"x,y,../delta_time_lag1",,,
height_change,dhdt_lag1_sigma,meters years^-1,"Nx, Ny,Nt_lag1",float32,"x,y,../delta_time_lag1",,,
height_change,dhdt_lag4,meters years^-1,"Nx, Ny,Nt_lag4",float32,"x,y,../delta_time_lag4",,,
height_change,dhdt_lag4_sigma,meters years^-1,"Nx, Ny,Nt_lag4",float32,"x,y,../delta_time_lag1",,,
height_change,dhdt_mission,meters years^-1,"Nx, Ny",float32,"x,y",,,
height_change,dhdt_mission_sigma,meters years^-1,"Nx, Ny",float32,"x,y",,,
height_change,ice_mask,counts,"Nx, Ny",int16,"x,y",,,
height_change_10km,x_10km,meters,Nx_10km,float64,"x,y",COMMENT: here x and y refer to the x and y within the current group.  Does that make sense?,,
height_change_10km,y_10km,meters,Ny_10km,float64,"x,y",,,
height_change_10km,cell_area_10km,meters^2,"Nx_10km, Ny_10km",float32,"x,y",,,
height_change_10km,mask_fraction_10km,counts,"Nx_10km, Ny_10km",float32,"x,y",,,
height_change_10km,delta_h_10km,meters,"Nx_10km, Ny_10km, Nt",float32,"x,y,../delta_time",,,
height_change_10km,delta_h_sigma_10km,meters years^-1,"Nx_10km, Ny_10km, Nt",float32,"x,y,../delta_time",,,
height_change_10km,dhdt_lag1_10km,meters years^-1,"Nx_10km, Ny_10km, Nt_lag1",float32,"x,y,../delta_time_lag1",,,
height_change_10km,dhdt_lag1_sigma_10km,meters years^-1,"Nx_10km, Ny_10km, Nt_lag1",float32,"x,y,../delta_time_lag1",,,
height_change_10km,dhdt_lag4_10km,meters years^-1,"Nx_10km, Ny_10km, Nt_lag4",float32,"x,y,../delta_time_lag4",,,
height_change_10km,dhdt_lag4_sigma_10km,meters years^-1,"Nx_10km, Ny_10km, Nt_lag4",float32,"x,y,../delta_time_lag4",,,
height_change_10km,dhdt_mission_10km,meters years^-1,"Nx_10km, Ny_10km",float32,"x,y",,,
height_change_10km,dhdt_mission_sigma_10km,meters years^-1,"Nx_10km, Ny_10km",float32,"x,y",,,
,,,,,,,,
height_change_20km,x_20km,meters,Nx_20km,float64,"x,y",COMMENT: here x and y refer to the x and y within the current group.  Does that make sense?,,
height_change_20km,y_20km,meters,Ny_20km,float64,"x,y",,,
height_change_20km,cell_area_20km,meters^2,"Nx_20km, Ny_20km",float32,"x,y",,,
height_change_20km,mask_fraction_20km,counts,"Nx_20km, Ny_20km",float32,"x,y",,,
height_change_20km,delta_h_20km,meters,"Nx_20km, Ny_20km, Nt",float32,"x,y,../delta_time",,,
height_change_20km,delta_h_sigma_20km,meters years^-1,"Nx_20km, Ny_20km, Nt",float32,"x,y,../delta_time",,,
height_change_20km,dhdt_lag1_20km,meters years^-1,"Nx_20km, Ny_20km, Nt_lag1",float32,"x,y,../delta_time_lag1",,,
height_change_20km,dhdt_lag1_sigma_20km,meters years^-1,"Nx_20km, Ny_20km, Nt_lag1",float32,"x,y,../delta_time_lag1",,,
height_change_20km,dhdt_lag4_20km,meters years^-1,"Nx_20km, Ny_20km, Nt_lag4",float32,"x,y,../delta_time_lag4",,,
height_change_20km,dhdt_lag4_sigma_20km,meters years^-1,"Nx_20km, Ny_20km, Nt_lag4",float32,"x,y,../delta_time_lag4",,,
height_change_20km,dhdt_mission_20km,meters years^-1,"Nx_20km, Ny_20km",float32,"x,y",,,
height_change_20km,dhdt_mission_sigma_20km,meters years^-1,"Nx_20km, Ny_20km",float32,"x,y",,,
,,,,,,,,
height_change_40km,x_40km,meters,Nx_40km,float64,"x,y",,,
height_change_40km,y_40km,meters,Ny_40km,float64,"x,y",,,
height_change_40km,cell_area_40km,meters^2,"Nx_40km, Ny_40km",float32,"x,y",,,
height_change_40km,mask_fraction_40km,counts,"Nx_40km, Ny_40km",float32,"x,y",,,
height_change_40km,delta_h_40km,meters,"Nx_40km, Ny_40km, Nt",float32,"x,y,../delta_time",,,
height_change_40km,delta_h_sigma_40km,meters years^-1,"Nx_40km, Ny_40km, Nt",float32,"x,y,../delta_time",,,
height_change_40km,dhdt_lag1_40km,meters years^-1,"Nx_40km, Ny_40km, Nt_lag1",float32,"x,y,../delta_time_lag1",,,
height_change_40km,dhdt_lag1_sigma_40km,meters years^-1,"Nx_40km, Ny_40km, Nt_lag1",float32,"x,y,../delta_time_lag1",,,
height_change_40km,dhdt_lag4_40km,meters years^-1,"Nx_40km, Ny_40km, Nt_lag4",float32,"x,y,../delta_time_lag4",,,
height_change_40km,dhdt_lag4_sigma_40km,meters years^-1,"Nx_40km, Ny_40km, Nt_lag4",float32,"x,y,../delta_time_lag4",,,
height_change_40km,dhdt_mission_40km,meters years^-1,"Nx_40km, Ny_40km",float32,"x,y",,,
height_change_40km,dhdt_mission_sigma_40km,meters years^-1,"Nx_40km, Ny_40km",float32,"x,y",,,
