group,field,units,dimensions,datatype,coordinates,description,long_name,source
ROOT,year,years,Nt,float64,year,"Time for each node, in years CE",quarterly h(t) time,
ROOT,year_lag1,years,Nt_lag1,float64,year_lag1,Time for the midpoint of each quarterly height-change rate,quarterly dh/dt time,
ROOT,year_lag4,years,Nt_lag4,float64,year_lag4,Time for the midpoint of each annual height-change rate,annual dh/dt time,
ROOT,year_lag8,years,Nt_lag8,float64,year_lag8,Time for the midpoint of each biennial height-change rate,biennial dh/dt time,
,,,,,,,,
height_change,x,meters,Nx,float64,x,"x coordinate of the 1-km cell centers, in projected coordinates",polar stereographic x at 1km,3.2
height_change,y,meters,Ny,float64,y,"y coordinate of the 1-km cell centers, in projected coordinates",polar stereographic y at 1km,3.2
height_change,cell_area,meters^2,"Nx, Ny",float32,"x,y","Ice-covered area of each 1x1 km grid cell, accounting for the area distortion in the polar-stereographic projections",cell area at 1 km,3.4
height_change,ice_mask,counts,"Nx, Ny",int8,"x,y","Ice mask. 1: ice, 0:bare ground or ocean.",Ice mask at 1km,3.3.2
height_change,data_count,counts,"Nx, Ny, Nt",float32,"x,y,../year",Weighted number of data contributing to each node in the 1-km height-change grid,data count ,5.2.4.4
height_change,misfit_rms,meters,"Nx, Ny, Nt",float32,"x,y,../year",Misfit associated with each node in the 1-km height-change grid,rms misfit ,5.2.4.4
height_change,misfit_scaled_rms,counts,"Nx, Ny, Nt",float32,"x,y,../year",Scaled misfit associated with each node in the 1-km height-change grid,scaled rms misfit,5.2.4.4
height_change,delta_h,meters,"Nx, Ny, Nt",float32,"x,y,../year","Height change relative to the datum (Jan 1, 2020) surface",quarterly height change  at 1 km,3.4
height_change,delta_h_sigma,meters,"Nx, Ny, Nt",float32,"x,y,../year","Estimated error in height change relative to the datum (Jan 1, 2020) surface",quarterly height change uncertainty at 1 km,3.4
height_change,dhdt_lag1,meters years^-1,"Nx, Ny, Nt_lag1",float32,"x,y,../year_lag1",Quarterly height-change rate,quarterly height-change rate at 1 km,3.4
height_change,dhdt_lag1_sigma,meters years^-1,"Nx, Ny, Nt_lag1",float32,"x,y,../year_lag1",Estimated error in quarterly height-change rate,quarterly height-change rate uncertainty at 1 km,3.4
height_change,dhdt_lag4,meters years^-1,"Nx, Ny, Nt_lag4",float32,"x,y,../year_lag4",Annual height-change rate,annual height-change rate at 1 km,3.4
height_change,dhdt_lag4_sigma,meters years^-1,"Nx, Ny, Nt_lag4",float32,"x,y,../year_lag4",Estimated error in annual height-change rate,annual height-change rate uncertainty at 1 km,3.4
height_change,dhdt_lag8,meters years^-1,"Nx, Ny, Nt_lag8",float32,"x,y,../year_lag8",biennial height-change rate,biennial height-change rate at 1 km,3.4
height_change,dhdt_lag8_sigma,meters years^-1,"Nx, Ny, Nt_lag8",float32,"x,y,../year_lag8",Estimated error in biennial height-change rate,biennial height-change rate uncertainty at 1 km,3.4
,,,,,,,,
height_change_10km,x,meters,Nx_10km,float64,x,"x coordinate of the 10-km cell centers, in projected coordinates",polar stereographic x at 10 km,3.2
height_change_10km,y,meters,Ny_10km,float64,y,"y coordinate of the 10-km cell centers, in projected coordinates",polar stereographic y at 10 km,3.2
height_change_10km,cell_area_10km,meters^2,"Nx_10km, Ny_10km",float32,"x,y","Ice-covered area of each 10x10 km grid cell, accounting for the area distortion in the polar-stereographic projections",ice covered area at 10 km,3.4
height_change_10km,delta_h_10km,meters,"Nx_10km, Ny_10km, Nt",float32,"x,y,../year","10x10 km average height change relative to the datum (Jan 1, 2020) surface",quarterly height change  at 10 km,3.4
height_change_10km,delta_h_sigma_10km,meters years^-1,"Nx_10km, Ny_10km, Nt",float32,"x,y,../year","Uncertainty in the 10x10 km average height change relative to the datum (Jan 1, 2020) surface",quarterly height change uncertainty at 10 km,3.4
height_change_10km,dhdt_lag1_10km,meters years^-1,"Nx_10km, Ny_10km, Nt_lag1",float32,"x,y,../year_lag1",10x10 km average quarterly height change rate,quarterly height-change rate at 10 km,3.4
height_change_10km,dhdt_lag1_sigma_10km,meters years^-1,"Nx_10km, Ny_10km, Nt_lag1",float32,"x,y,../year_lag1",Uncertainty in the 10x10 km average quarterly height change rate,quarterly height-change rate uncertainty at 10 km,3.4
height_change_10km,dhdt_lag4_10km,meters years^-1,"Nx_10km, Ny_10km, Nt_lag4",float32,"x,y,../year_lag4",10x10 km average annual height change rate,annual height-change rate at 10 km,3.4
height_change_10km,dhdt_lag4_sigma_10km,meters years^-1,"Nx_10km, Ny_10km, Nt_lag4",float32,"x,y,../year_lag4",Uncertainty in the 10x10 km average annual height change rate,annual height-change rate uncertainty at 10 km,3.4
height_change_10km,dhdt_lag8_10km,meters years^-1,"Nx_10km, Ny_10km, Nt_lag8",float32,"x,y,../year_lag8",10x10 km average biennial height change rate,biennial height-change rate at 10 km,3.4
height_change_10km,dhdt_lag8_sigma_10km,meters years^-1,"Nx_10km, Ny_10km, Nt_lag8",float32,"x,y,../year_lag8",Uncertainty in the 10x10 km average biennial height change rate,biennial height-change rate uncertainty at 10 km,3.4
,,,,,,,,
height_change_20km,x,meters,Nx_20km,float64,x,"x coordinate of the 20-km cell centers, in projected coordinates",polar stereographic x at 20 km,3.2
height_change_20km,y,meters,Ny_20km,float64,y,"y coordinate of the 20-km cell centers, in projected coordinates",polar stereographic y at 20 km,3.2
